X,Y,Z
124,123,15.63
123,123,17.86
123,124,20.83
122,124,25.0
121,125,31.25
115,125,62.5
76,127,255.0
76,137,255.0
76,147,255.0
76,158,255.0
76,168,255.0
76,178,255.0
76,188,255.0
76,198,255.0
76,209,255.0
76,219,255.0
76,229,255.0
76,239,255.0
76,249,255.0
76,255,255.0
123,138,19.23
123,140,20.83
122,142,22.73
122,144,25.0
121,147,27.78
121,151,31.25
120,156,35.71
115,180,62.5
76,255,255.0
76,255,255.0
76,255,255.0
76,255,255.0
76,255,255.0
76,255,255.0
126,117,8.93
126,117,9.26
125,117,9.62
125,117,10.0
125,117,10.87
126,119,8.93
125,113,15.63
126,120,8.62
119,87,50.0
123,106,27.78
119,91,50.0
119,93,50.0
117,87,62.5
117,90,62.5
114,80,83.33
107,62,125.0
87,7,250.0
125,122,11.9
125,122,12.5
125,122,13.16
125,123,13.89
125,123,14.71
125,123,15.63
124,123,17.86
124,124,19.23
123,124,22.73
122,125,31.25
117,125,62.5
86,127,255.0
86,137,255.0
86,147,255.0
86,158,255.0
86,168,255.0
86,178,255.0
86,188,255.0
86,198,255.0
86,209,255.0
86,219,255.0
86,229,255.0
86,239,255.0
86,249,255.0
86,255,255.0
86,255,255.0
124,140,20.83
123,142,22.73
123,144,25.0
123,147,27.78
122,151,31.25
121,156,35.71
119,169,50.0
86,255,255.0
86,255,255.0
86,255,255.0
86,255,255.0
86,255,255.0
86,255,255.0
126,117,8.93
126,117,9.26
126,117,9.62
126,117,10.0
126,118,9.26
126,119,8.33
125,113,15.63
121,85,50.0
122,94,41.67
121,89,50.0
123,105,31.25
120,85,62.5
120,87,62.5
120,90,62.5
117,80,83.33
112,62,125.0
126,122,11.36
126,122,11.9
126,122,12.5
125,122,13.16
125,123,13.89
125,123,14.71
125,123,15.63
125,124,16.67
125,124,19.23
124,124,22.73
124,125,27.78
122,125,41.67
97,127,250.0
96,137,255.0
96,147,255.0
96,158,255.0
96,168,255.0
96,178,255.0
96,188,255.0
96,198,255.0
96,209,255.0
96,219,255.0
96,229,255.0
96,239,255.0
96,249,255.0
96,255,255.0
96,255,255.0
125,140,20.83
124,142,22.73
124,144,25.0
124,147,27.78
123,151,31.25
123,156,35.71
122,162,41.67
96,255,255.0
96,255,255.0
96,255,255.0
96,255,255.0
96,255,255.0
96,255,255.0
126,117,8.93
126,117,9.26
126,117,9.62
126,117,10.0
126,119,8.62
107,0,255.0
126,114,14.71
124,92,41.67
125,112,19.23
123,89,50.0
126,120,9.26
125,108,27.78
122,87,62.5
122,90,62.5
120,80,83.33
117,62,125.0
126,122,11.36
126,122,11.9
126,122,12.5
126,122,13.16
126,123,13.89
126,123,14.71
126,123,15.63
126,124,16.67
126,124,17.86
125,125,20.83
125,125,25.0
124,126,35.71
117,127,125.0
107,137,255.0
107,147,255.0
107,158,255.0
107,168,255.0
107,178,255.0
107,188,255.0
107,198,255.0
107,209,255.0
107,219,255.0
107,229,255.0
107,239,255.0
107,249,255.0
107,255,255.0
107,255,255.0
125,140,20.83
125,142,22.73
125,144,25.0
125,147,27.78
125,151,31.25
124,156,35.71
124,162,41.67
107,255,255.0
107,255,255.0
107,255,255.0
107,255,255.0
107,255,255.0
107,255,255.0
127,117,8.93
127,117,9.26
127,117,9.62
127,117,10.0
127,119,8.33
117,0,250.0
125,72,62.5
126,114,15.63
125,94,41.67
125,89,50.0
125,82,62.5
126,112,22.73
125,87,62.5
126,108,31.25
124,80,83.33
122,62,125.0
127,122,11.36
127,122,11.9
127,122,12.5
126,122,13.16
126,123,13.89
126,123,13.89
126,123,14.71
126,124,16.67
126,124,17.86
126,125,20.83
126,125,22.73
126,126,27.78
125,127,62.5
117,137,250.0
117,147,255.0
117,158,255.0
117,168,255.0
117,178,255.0
117,188,255.0
117,198,255.0
117,209,255.0
117,219,255.0
117,229,255.0
117,239,255.0
117,249,255.0
117,255,255.0
117,255,255.0
117,255,255.0
126,142,22.73
126,144,25.0
126,147,27.78
126,151,31.25
126,156,35.71
125,162,41.67
117,255,255.0
117,255,255.0
117,255,255.0
117,255,255.0
117,255,255.0
117,255,255.0
127,117,8.93
127,117,9.26
127,117,9.62
127,117,10.0
127,116,11.36
127,0,250.0
127,72,62.5
127,92,41.67
127,94,41.67
127,80,62.5
127,82,62.5
127,85,62.5
127,112,22.73
127,77,83.33
127,92,62.5
127,101,50.0
127,122,11.36
127,122,11.9
127,122,12.5
127,122,13.16
127,123,13.16
127,123,13.89
127,123,14.71
127,124,15.63
127,124,17.86
127,125,19.23
127,125,22.73
127,126,27.78
127,127,35.71
127,130,83.33
127,147,250.0
127,158,255.0
127,168,255.0
127,178,255.0
127,188,255.0
127,198,255.0
127,209,255.0
127,219,255.0
127,229,255.0
127,239,255.0
127,249,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,117,8.62
127,117,8.93
127,117,9.26
127,117,9.62
127,119,8.33
137,0,255.0
130,72,62.5
129,85,50.0
129,87,50.0
128,114,16.67
130,82,62.5
130,85,62.5
130,74,83.33
130,77,83.33
130,80,83.33
130,84,83.33
129,107,41.67
130,100,62.5
130,94,83.33
132,82,125.0
128,123,13.16
128,123,13.89
128,123,14.71
128,124,15.63
128,124,16.67
128,125,19.23
128,125,20.83
128,126,25.0
128,127,31.25
130,130,62.5
137,147,255.0
137,158,255.0
137,168,255.0
137,178,255.0
137,188,255.0
137,198,255.0
137,209,255.0
137,219,255.0
137,229,255.0
137,239,255.0
137,249,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
128,117,8.62
128,117,8.93
128,117,9.26
128,117,9.62
128,119,8.06
147,0,250.0
132,72,62.5
131,85,50.0
131,87,50.0
132,80,62.5
132,82,62.5
129,114,19.23
134,74,83.33
134,77,83.33
134,80,83.33
134,84,83.33
134,87,83.33
134,90,83.33
134,94,83.33
128,123,12.5
128,123,13.16
128,123,13.89
128,123,14.71
128,124,15.63
128,124,16.67
128,125,17.86
129,125,20.83
129,126,22.73
129,127,27.78
130,129,41.67
134,134,83.33
147,158,255.0
147,168,255.0
147,178,255.0
147,188,255.0
147,198,255.0
147,209,255.0
147,219,255.0
147,229,255.0
147,239,255.0
147,249,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
